Date,Close,High,Low,Open,Volume,Return,MA_7,MA_21,Volatility_7,Volatility_21,High_Low_Spread,Open_Close_Change,Return_lag1,Return_lag2,Return_lag3,Return_lag4,Return_lag5,Return_lag6,Return_lag7,Return_lag8,Return_lag9,Return_lag10,Return_lag11,Return_lag12,Return_lag13,Return_lag14,Return_lag15,Return_lag16,Return_lag17,Return_lag18,Return_lag19,Return_lag20,Return_lag21,Return_lag22,Return_lag23,Return_lag24,Return_lag25,Return_lag26,Return_lag27,Return_lag28,Return_lag29,Return_lag30
2020-02-13,249.00003051757812,250.28736717889956,245.83121227363725,247.36611309636217,2563148.0,0.007008437882503937,240.94359043666296,230.47987947009858,0.015928384770810558,0.017873051945142954,4.456154905262309,-1.6339174212159548,0.017937167900165862,0.00327198565060538,0.020876806977726536,0.012684964083853334,0.0010582424696019554,0.04790415069017562,0.020597594185039148,-0.037263001753709446,-0.00885530534895318,-0.0034438247561635604,0.010439327916237806,-0.002819388441870907,0.0034820477160857344,0.0006533356661477807,0.016378886788209535,0.007357941573895355,-0.010152341231299156,-0.008099737569285392,0.03818177220973995,0.01569711150269737,0.010496757476867513,0.0035112287107457174,0.021520833364038205,0.005288520233694083,0.03225810398507645,-0.012496972775253079,0.022550693656334442,-0.04200673435742852,-0.013730941944178676,0.01611720536359451
2020-02-14,253.6542205810547,256.08036132513655,249.0990493134316,250.03979005597532,4968325.0,0.018691524068500165,243.75874546595983,232.18453470865884,0.007950232153371704,0.017955310138117072,6.981312011704944,-3.6144305250793707,0.007008437882503937,0.017937167900165862,0.00327198565060538,0.020876806977726536,0.012684964083853334,0.0010582424696019554,0.04790415069017562,0.020597594185039148,-0.037263001753709446,-0.00885530534895318,-0.0034438247561635604,0.010439327916237806,-0.002819388441870907,0.0034820477160857344,0.0006533356661477807,0.016378886788209535,0.007357941573895355,-0.010152341231299156,-0.008099737569285392,0.03818177220973995,0.01569711150269737,0.010496757476867513,0.0035112287107457174,0.021520833364038205,0.005288520233694083,0.03225810398507645,-0.012496972775253079,0.022550693656334442,-0.04200673435742852,-0.013730941944178676
2020-02-17,250.0398101806641,254.89206183913285,249.1980859637316,254.39693350214145,2411524.0,-0.014249360377725728,246.0221884591239,233.3209729875837,0.012276418687440884,0.0170888624174579,5.693975875401264,4.35712332147736,0.018691524068500165,0.007008437882503937,0.017937167900165862,0.00327198565060538,0.020876806977726536,0.012684964083853334,0.0010582424696019554,0.04790415069017562,0.020597594185039148,-0.037263001753709446,-0.00885530534895318,-0.0034438247561635604,0.010439327916237806,-0.002819388441870907,0.0034820477160857344,0.0006533356661477807,0.016378886788209535,0.007357941573895355,-0.010152341231299156,-0.008099737569285392,0.03818177220973995,0.01569711150269737,0.010496757476867513,0.0035112287107457174,0.021520833364038205,0.005288520233694083,0.03225810398507645,-0.012496972775253079,0.022550693656334442,-0.04200673435742852
2020-02-18,247.01951599121097,249.1980775786448,242.86044112245233,249.1980775786448,2430446.0,-0.012079253248795996,247.42976597377233,234.40082368396577,0.014549931707297206,0.017261726668000875,6.3376364561924845,2.1785615874338475,-0.014249360377725728,0.018691524068500165,0.007008437882503937,0.017937167900165862,0.00327198565060538,0.020876806977726536,0.012684964083853334,0.0010582424696019554,0.04790415069017562,0.020597594185039148,-0.037263001753709446,-0.00885530534895318,-0.0034438247561635604,0.010439327916237806,-0.002819388441870907,0.0034820477160857344,0.0006533356661477807,0.016378886788209535,0.007357941573895355,-0.010152341231299156,-0.008099737569285392,0.03818177220973995,0.01569711150269737,0.010496757476867513,0.0035112287107457174,0.021520833364038205,0.005288520233694083,0.03225810398507645,-0.012496972775253079,0.022550693656334442
2020-02-19,251.5252227783203,253.01060795220803,247.46516392564615,247.56419564795303,2101729.0,0.01824028667949329,248.77369035993303,235.8036891392299,0.014126254926240383,0.017148753296574403,5.545444026561881,-3.9610271303672846,-0.012079253248795996,-0.014249360377725728,0.018691524068500165,0.007008437882503937,0.017937167900165862,0.00327198565060538,0.020876806977726536,0.012684964083853334,0.0010582424696019554,0.04790415069017562,0.020597594185039148,-0.037263001753709446,-0.00885530534895318,-0.0034438247561635604,0.010439327916237806,-0.002819388441870907,0.0034820477160857344,0.0006533356661477807,0.016378886788209535,0.007357941573895355,-0.010152341231299156,-0.008099737569285392,0.03818177220973995,0.01569711150269737,0.010496757476867513,0.0035112287107457174,0.021520833364038205,0.005288520233694083,0.03225810398507645,-0.012496972775253079
2020-02-20,256.1298828125,258.4569920415959,250.18834276556677,250.7329869585592,3108173.0,0.018306951419492234,250.66225106375558,237.34801737467447,0.014847499947976994,0.01735446713034609,8.268649276029151,-5.396895853940805,0.01824028667949329,-0.012079253248795996,-0.014249360377725728,0.018691524068500165,0.007008437882503937,0.017937167900165862,0.00327198565060538,0.020876806977726536,0.012684964083853334,0.0010582424696019554,0.04790415069017562,0.020597594185039148,-0.037263001753709446,-0.00885530534895318,-0.0034438247561635604,0.010439327916237806,-0.002819388441870907,0.0034820477160857344,0.0006533356661477807,0.016378886788209535,0.007357941573895355,-0.010152341231299156,-0.008099737569285392,0.03818177220973995,0.01569711150269737,0.010496757476867513,0.0035112287107457174,0.021520833364038205,0.005288520233694083,0.03225810398507645
2020-02-24,244.84097290039065,253.35718669749505,241.72167029070195,252.317414124226,3309214.0,-0.0440749427132382,250.31566510881697,238.18030511765252,0.023623410958771775,0.02039989928364012,11.635516406793101,7.476441223835337,0.018306951419492234,0.01824028667949329,-0.012079253248795996,-0.014249360377725728,0.018691524068500165,0.007008437882503937,0.017937167900165862,0.00327198565060538,0.020876806977726536,0.012684964083853334,0.0010582424696019554,0.04790415069017562,0.020597594185039148,-0.037263001753709446,-0.00885530534895318,-0.0034438247561635604,0.010439327916237806,-0.002819388441870907,0.0034820477160857344,0.0006533356661477807,0.016378886788209535,0.007357941573895355,-0.010152341231299156,-0.008099737569285392,0.03818177220973995,0.01569711150269737,0.010496757476867513,0.0035112287107457174,0.021520833364038205,0.005288520233694083
2020-02-25,244.0487518310547,249.2971151724992,240.03820931966223,247.36611769964145,3309962.0,-0.003235655617404687,249.60833958217077,238.96779450916108,0.02334837679646552,0.020446840939973166,9.25890585283696,3.317365868586762,-0.0440749427132382,0.018306951419492234,0.01824028667949329,-0.012079253248795996,-0.014249360377725728,0.018691524068500165,0.007008437882503937,0.017937167900165862,0.00327198565060538,0.020876806977726536,0.012684964083853334,0.0010582424696019554,0.04790415069017562,0.020597594185039148,-0.037263001753709446,-0.00885530534895318,-0.0034438247561635604,0.010439327916237806,-0.002819388441870907,0.0034820477160857344,0.0006533356661477807,0.016378886788209535,0.007357941573895355,-0.010152341231299156,-0.008099737569285392,0.03818177220973995,0.01569711150269737,0.010496757476867513,0.0035112287107457174,0.021520833364038205
2020-02-26,240.434326171875,243.90022456983417,238.6518611166153,241.62263117200885,2897390.0,-0.01481026078626213,247.71978323800224,239.54544430687315,0.021619375799599473,0.020835669883185453,5.248363453218872,1.1883050001338518,-0.003235655617404687,-0.0440749427132382,0.018306951419492234,0.01824028667949329,-0.012079253248795996,-0.014249360377725728,0.018691524068500165,0.007008437882503937,0.017937167900165862,0.00327198565060538,0.020876806977726536,0.012684964083853334,0.0010582424696019554,0.04790415069017562,0.020597594185039148,-0.037263001753709446,-0.00885530534895318,-0.0034438247561635604,0.010439327916237806,-0.002819388441870907,0.0034820477160857344,0.0006533356661477807,0.016378886788209535,0.007357941573895355,-0.010152341231299156,-0.008099737569285392,0.03818177220973995,0.01569711150269737,0.010496757476867513,0.0035112287107457174
2020-02-27,231.86859130859375,239.09746796151316,229.7890613849545,239.09746796151316,3568055.0,-0.03562608966723835,245.12389482770647,239.74585324242003,0.024111815213303366,0.022436657848780437,9.308406576558667,7.228876652919411,-0.01481026078626213,-0.003235655617404687,-0.0440749427132382,0.018306951419492234,0.01824028667949329,-0.012079253248795996,-0.014249360377725728,0.018691524068500165,0.007008437882503937,0.017937167900165862,0.00327198565060538,0.020876806977726536,0.012684964083853334,0.0010582424696019554,0.04790415069017562,0.020597594185039148,-0.037263001753709446,-0.00885530534895318,-0.0034438247561635604,0.010439327916237806,-0.002819388441870907,0.0034820477160857344,0.0006533356661477807,0.016378886788209535,0.007357941573895355,-0.010152341231299156,-0.008099737569285392,0.03818177220973995,0.01569711150269737,0.010496757476867513
